Destination,Budget,Type of Trip,Mode of Transport,Days
Manali,20000,Adventure,Road,7
Goa,30000,Relaxation,Flight,5
Jaipur,15000,Cultural,Road,3
Kerala,40000,Honeymoon,Flight,7
Ladakh,50000,Adventure,Road,7
Andaman,70000,Relaxation,Flight,7
Darjeeling,25000,Adventure,Road,3
Shimla,22000,Relaxation,Road,10
Rishikesh,18000,Adventure,Road,8
Agra,14000,Cultural,Road,7
Varanasi,17000,Cultural,Road,5
Mysore,28000,Cultural,Road,4
Ooty,26000,Relaxation,Road,6
Udaipur,32000,Cultural,Road,7
Amritsar,20000,Cultural,Road,2
Kanyakumari,45000,Relaxation,Flight,1
Pondicherry,30000,Relaxation,Flight,3
Srinagar,40000,Adventure,Road,2
Ranthambore,22000,Adventure,Road,3
Kolkata,16000,Cultural,Road,5
Chennai,25000,Cultural,Road,5
Bangalore,27000,Cultural,Road,6
Hyderabad,35000,Cultural,Road,6
Mumbai,38000,Relaxation,Road,9
Delhi,30000,Cultural,Road,10
Coorg,24000,Relaxation,Road,23
Hampi,34000,Cultural,Road,2
Jaisalmer,20000,Cultural,Road,2
Kaziranga,42000,Adventure,Road,2
Shillong,30000,Adventure,Road,2
Puri,15000,Cultural,Road,2
Rameshwaram,29000,Relaxation,Road,2
Haridwar,55000,Adventure,Road,2
Chikmagalur,45000,Adventure,Road,2
Leh,38000,Relaxation,Road,2
Gulmarg,30000,Cultural,Road,2
Alleppey,27000,Relaxation,Road,2
Mahabalipuram,18000,Relaxation,Road,2
Nainital,22000,Relaxation,Road,2
Mount Abu,80000,Relaxation,Road,3
Lakshadweep,30000,Relaxation,Flight,3
Kodaikanal,28000,Relaxation,Road,2
Lonavala,26000,Relaxation,Road,5
,,,,
Mussoorie,30000,Relaxation,Road,5
,,,,
Gangtok,15000,Adventure,Road,3
Ahmedabad,20000,Cultural,Road,5
Vadodara,25000,Cultural,Road,4
Surat,23000,Cultural,Road,6
Aurangabad,27000,Relaxation,Road,8
Pune,24000,Cultural,Road,5
Chandigarh,32000,Cultural,Road,6
Bhubaneswar,22000,Cultural,Road,8
Patna,21000,Cultural,Road,6
Lucknow,30000,Cultural,Road,5
Dehradun,25000,Cultural,Road,4
Tirupati,29000,Cultural,Road,2
Madurai,23000,Cultural,Road,2
,,,,
Ajanta,26000,Cultural,Road,6
Ellora,29000,Adventure,Road,7
Diu,28000,Relaxation,Road,8
Dwarka,26000,Cultural,Road,2
Ranakpur,32000,Adventure,Road,6
Khajuraho,33000,Adventure,Road,4
Konark,25000,Adventure,Road,2
Kanha,37000,Cultural,Road,6
Bandhavgarh,30000,Relaxation,Road,5
Kutch,60000,Relaxation,Road,8
